Task,Base Model Accept,Majority Vote Accept,Iteration_2_model_(305_31) Majority Vote Accept,Iteration_2_model_(305_310) Majority Vote Accept,Any Accept Accept,Base Model Reject,Majority Vote Reject,Iteration_2_model_(305_31) Majority Vote Accept,Any Accept Reject
assembly,157,131,139,127,304,294,320,132,147
basketball,84,85,75,75,176,226,226,72,135
button-press,179,197,208,200,213,36,18,208,2
button-press-topdown,154,160,167,172,181,46,40,167,19
door-close,65,67,73,71,106,64,62,73,23
door-open,227,239,237,238,247,24,12,233,4
faucet-close,43,46,45,42,128,143,140,33,58
faucet-open,35,22,23,22,112,145,158,18,68
hammer,43,37,37,30,133,196,203,37,107
handle-press,110,116,130,125,160,55,49,122,5
shelf-place,260,267,272,273,293,37,30,272,4
