Task,base_model_Accept%,base_model_Reject%,Iteration_1_Accept%,Iteration_1_Reject%,Iteration_2_Accept%,Iteration_2_Reject%,Iteration_305_310_315_Accept%,Iteration_305_310_315_Reject%
shelf-place,87.54%,12.46%,85.45%,14.55%,86.33%,13.67%,84.24%,15.76%
door-open,90.44%,9.56%,89.72%,10.28%,89.32%,10.68%,84.54%,15.46%
door-close,50.39%,49.61%,53.64%,46.36%,55.66%,44.34%,53.95%,46.05%
assembly,34.81%,65.19%,32.51%,67.49%,33.88%,66.12%,36.27%,63.73%
hammer,18.33%,81.67%,21.83%,78.17%,20.42%,79.58%,20.00%,80.00%
button-press-topdown,77.00%,23.00%,79.20%,20.80%,83.10%,16.90%,81.90%,18.10%
button-press,83.26%,16.74%,84.19%,15.81%,86.05%,13.95%,87.81%,12.19%
basketball,27.01%,72.99%,30.10%,69.90%,26.82%,73.18%,26.43%,73.57%
faucet-open,19.44%,80.56%,21.56%,78.44%,21.56%,78.44%,25.44%,74.56%
handle-press,66.67%,33.33%,66.06%,33.94%,68.36%,31.64%,65.21%,34.79%
faucet-close,23.12%,76.88%,28.82%,71.18%,28.49%,71.51%,29.89%,70.11%
