Task,base_model_Accept%,base_model_Reject%,Iteration_1_Accept%,Iteration_1_Reject%,Iteration_2_Accept%,Iteration_2_Reject%,Iteration_305_310_315_Accept%,Iteration_305_310_315_Reject%
shelf-place,87.54%,12.46%,98.65%,1.35%,99.33%,0.67%,98.99%,1.01%
door-open,90.44%,9.56%,98.41%,1.59%,98.80%,1.20%,98.41%,1.59%
door-close,50.39%,49.61%,82.17%,17.83%,84.50%,15.50%,85.27%,14.73%
assembly,34.81%,65.19%,67.41%,32.59%,73.39%,26.61%,77.38%,22.62%
hammer,18.33%,81.67%,55.42%,44.58%,55.83%,44.17%,55.00%,45.00%
button-press-topdown,77.00%,23.00%,90.50%,9.50%,95.00%,5.00%,97.50%,2.50%
button-press,83.26%,16.74%,99.07%,0.93%,100.00%,0.00%,100.00%,0.00%
basketball,27.01%,72.99%,56.59%,43.41%,54.02%,45.98%,52.41%,47.59%
faucet-open,19.44%,80.56%,62.22%,37.78%,62.22%,37.78%,68.33%,31.67%
handle-press,66.67%,33.33%,96.97%,3.03%,97.58%,2.42%,95.15%,4.85%
faucet-close,23.12%,76.88%,68.82%,31.18%,68.28%,31.72%,68.28%,31.72%
