,Task,Base model Accept,Base model Reject,Iteration 1_304 Accept,Iteration 1_304 Reject,Iteration 1_305 Accept,Iteration 1_305 Reject,Iteration 1_306 Accept,Iteration 1_306 Reject,Iteration 2_310 Accept,Iteration 2_310 Reject,Iteration 2_309 Accept,Iteration 2_309 Reject
0,assembly,157,294,140,311,160,291,163,288,146,305,133,318
1,shelf-place,260,37,256,40,256,41,248,49,261,36,257,39
2,door-close,65,64,66,62,69,60,61,68,67,62,62,67
3,handle-press,110,55,115,50,117,48,114,50,105,60,115,50
4,faucet-close,43,143,51,135,46,139,48,138,57,129,48,137
5,faucet-open,35,145,43,137,39,141,28,152,37,142,33,147
6,hammer,43,196,46,194,53,187,43,196,44,196,48,190
7,button-press-topdown,154,46,162,37,157,43,160,40,164,36,168,31
8,button-press,179,36,185,29,178,37,181,34,192,23,179,36
9,basketball,84,226,80,230,94,217,89,222,88,222,77,233
10,door-open,227,24,227,24,221,28,225,25,228,22,229,22
